evaluation_year,candidate,capacity_validation_per_10000,threshold,validation_tp,validation_fp,validation_recall,validation_alerts_per_10000,tp,fp,fn,tn,recall,precision,alerts,alerts_per_10000,cost_fn10,cost_fn100
2016,rf_profundo,10,0.61,43,0,0.3233082706766917,9.68054211035818,61,0,165,87559,0.26991150442477874,1.0,61,6.948795352281142,1650,16500
2016,rf_profundo,25,0.115,80,28,0.6015037593984962,24.313919719039152,134,50,92,87509,0.5929203539823009,0.7282608695652174,184,20.960300734749673,970,9250
2016,rf_profundo,50,0.06,90,112,0.6766917293233082,45.4760350300547,150,192,76,87367,0.6637168141592921,0.43859649122807015,342,38.958819843936894,952,7792
2016,rf_profundo,100,0.04,98,256,0.7368421052631579,79.69562574573943,152,437,74,87122,0.672566371681416,0.25806451612903225,589,67.0957452867802,1177,7837
2016,rf_profundo,250,0.035,99,373,0.7443609022556391,106.26083432765257,155,609,71,86950,0.6858407079646017,0.20287958115183247,764,87.03081392037365,1319,7709
2016,rf_reciente_3a,10,0.13933387157034846,44,0,0.3308270676691729,9.90567099664558,63,9,163,87550,0.27876106194690264,0.875,72,8.201856809249872,1639,16309
2016,rf_reciente_3a,25,0.048851334059980885,72,37,0.5413533834586466,24.53904860532655,89,89,137,87470,0.3938053097345133,0.5,178,20.276812667312182,1459,13789
2016,rf_reciente_3a,50,0.03129941427052935,78,100,0.5864661654135338,40.07294175915712,110,199,116,87360,0.48672566371681414,0.3559870550161812,309,35.1996354730307,1359,11799
2016,rf_reciente_3a,100,0.02024716335353092,81,281,0.6090225563909775,81.49665683603862,122,482,104,87077,0.5398230088495575,0.20198675496688742,604,68.80446545537393,1522,10882
2016,rf_reciente_3a,250,0.011666859125245805,92,1018,0.6917293233082706,249.8930637790135,143,1613,83,85946,0.6327433628318584,0.08143507972665148,1756,200.03417440337188,2443,9913
2016,rf_reciente_profundo,10,0.325,43,0,0.3233082706766917,9.68054211035818,61,0,165,87559,0.26991150442477874,1.0,61,6.948795352281142,1650,16500
2016,rf_reciente_profundo,25,0.085,76,29,0.5714285714285714,23.63853306017695,113,49,113,87510,0.5,0.6975308641975309,162,18.454177820812212,1179,11349
2016,rf_reciente_profundo,50,0.055,81,113,0.6090225563909775,43.675003939755506,123,148,103,87411,0.5442477876106194,0.45387453874538747,271,30.870877712593266,1178,10448
2016,rf_reciente_profundo,100,0.045,85,238,0.6390977443609023,72.71663027083005,128,330,98,87229,0.5663716814159292,0.2794759825327511,458,52.17292248106168,1310,10130
2016,rf_reciente_profundo,250,0.025,89,996,0.6691729323308271,244.26484162182848,148,1267,78,86292,0.6548672566371682,0.10459363957597173,1415,161.18926923734122,2047,9067
2016,rf_revisado_reciente,10,0.23014910188820767,42,2,0.3157894736842105,9.90567099664558,68,13,158,87546,0.3008849557522124,0.8395061728395061,81,9.227088910406106,1593,15813
2016,rf_revisado_reciente,25,0.1136574265016612,70,40,0.5263157894736842,24.76417749161395,99,96,127,87463,0.43805309734513276,0.5076923076923077,195,22.213362191718403,1366,12796
2016,rf_revisado_reciente,50,0.06999963778299285,84,138,0.631578947368421,49.97861275580269,122,279,104,87280,0.5398230088495575,0.30423940149625933,401,45.679785840405536,1319,10679
2016,rf_revisado_reciente,100,0.0476406810382615,96,338,0.7218045112781954,97.7059366487314,141,647,85,86912,0.6238938053097345,0.17893401015228427,788,89.7647661901236,1497,9147
2016,rf_revisado_reciente,250,0.0253539551675663,110,973,0.8270676691729323,243.81458384925372,172,1929,54,85630,0.7610619469026548,0.08186577820085673,2101,239.3347382810275,2469,7329
2016,rf_variables_revisadas,10,0.3204328088640677,44,0,0.3308270676691729,9.90567099664558,68,0,158,87559,0.3008849557522124,1.0,68,7.7461980976248785,1580,15800
2016,rf_variables_revisadas,25,0.048107791790953695,82,21,0.6165413533834586,23.188275287602153,130,51,96,87508,0.5752212389380531,0.7182320441988951,181,20.61855670103093,1011,9651
2016,rf_variables_revisadas,50,0.017444595171504994,93,123,0.6992481203007519,48.627839438078304,155,231,71,87328,0.6858407079646017,0.4015544041450777,386,43.971065671811814,941,7331
2016,rf_variables_revisadas,100,0.01171670941011998,102,314,0.7669172932330827,93.65361669555821,167,566,59,86993,0.7389380530973452,0.22783083219645292,733,83.49945890527995,1156,6466
2016,rf_variables_revisadas,250,0.008048879805686738,112,873,0.8421052631578947,221.75195299308854,182,1688,44,85871,0.8053097345132744,0.09732620320855614,1870,213.02044768468417,2128,6088
2019,r1_pesos_clase,10,0.8284292233933526,2,30,0.028985507246376812,7.214356569573452,0,31,123,73294,0.0,0.0,31,4.220673129288748,1261,12331
2019,r1_pesos_clase,25,0.8284292233933526,2,30,0.028985507246376812,7.214356569573452,0,31,123,73294,0.0,0.0,31,4.220673129288748,1261,12331
2019,r1_pesos_clase,50,0.7110721382674425,3,153,0.043478260869565216,35.16998827667058,0,162,123,73163,0.0,0.0,162,22.056420869186365,1392,12462
